Estado,Clave SIINAH,Siglas,Centro de trabajo,Año,Mes,Tipo de visitantes,Número de visitas,Nacionalidad
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Trabajadores INAH,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,"Tercera edad, pensionados y jubilados",92,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Exposiciones temporales con costo adicional,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Entrada sin costo,14,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Profesores,54,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Discapacitados,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Entrada sin costo,139,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Estudiantes nivel básico,179,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Entrada dominical,905,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Boleto pagado,33,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Estudiantes nivel superior,197,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Boleto pagado,137,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Trabajadores INAH,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,"Tercera edad, pensionados y jubilados",89,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Exposiciones temporales con costo adicional,0,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Entrada sin costo,5,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Profesores,93,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Discapacitados,1,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Entrada sin costo,163,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Estudiantes nivel básico,840,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Entrada dominical,937,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Boleto pagado,40,Extranjeros
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Estudiantes nivel superior,194,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Boleto pagado,103,Nacional
Aguascalientes,2300100,M.- M.H,Museo Regional de Historia de Aguascalientes,2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Estudiantes nivel superior,143,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Entrada sin costo,138,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Profesores,4,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Entrada sin costo,376,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Estudiantes nivel básico,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Entrada dominical,127,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,1,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Estudiantes nivel básico,24,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Entrada dominical,178,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Boleto pagado,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Estudiantes nivel superior,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Boleto pagado,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Trabajadores INAH,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Entrada sin costo,187,Extranjeros
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Profesores,9,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Discapacitados,0,Nacional
Baja California,2400100,M.- M.H,"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",2023,2,Entrada sin costo,340,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Estudiantes nivel superior,32,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Boleto pagado,127,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,"Tercera edad, pensionados y jubilados",41,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Entrada sin costo,0,Extranjeros
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Trabajadores INAH,1,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Profesores,17,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Discapacitados,2,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Entrada sin costo,0,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Estudiantes nivel básico,42,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Entrada dominical,348,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,1,Boleto pagado,6,Extranjeros
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Estudiantes nivel superior,139,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Boleto pagado,112,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Trabajadores INAH,23,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,"Tercera edad, pensionados y jubilados",177,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Entrada sin costo,0,Extranjeros
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Profesores,75,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Discapacitados,7,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Entrada sin costo,0,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Estudiantes nivel básico,160,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Entrada dominical,450,Nacional
Baja California,3120040,Z.A.,Z.A. de El Vallecito,2023,2,Boleto pagado,16,Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Trabajadores INAH,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,"Tercera edad, pensionados y jubilados",47,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Entrada sin costo,"1,179",Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Profesores,72,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Discapacitados,6,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Entrada sin costo,920,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Estudiantes nivel básico,185,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Entrada dominical,252,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Boleto pagado,0,Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Estudiantes nivel superior,64,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Boleto pagado,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Profesores,33,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Discapacitados,4,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Entrada sin costo,483,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Estudiantes nivel básico,61,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Entrada dominical,183,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Boleto pagado,0,Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Estudiantes nivel superior,11,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Boleto pagado,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Trabajadores INAH,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,"Tercera edad, pensionados y jubilados",119,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,4100016,M.- M.H,Misión de San Francisco Javier,2023,2,Entrada sin costo,"1,352",Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Profesores,11,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Discapacitados,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Entrada sin costo,374,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Estudiantes nivel básico,112,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Entrada dominical,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Boleto pagado,205,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Estudiantes nivel superior,163,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Boleto pagado,97,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Trabajadores INAH,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,"Tercera edad, pensionados y jubilados",88,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,1,Entrada sin costo,12,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Entrada sin costo,19,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Trabajadores INAH,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,"Tercera edad, pensionados y jubilados",166,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Discapacitados,2,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Entrada sin costo,356,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Profesores,9,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Entrada dominical,0,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Boleto pagado,525,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Estudiantes nivel básico,87,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Boleto pagado,189,Nacional
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,2400200,M.- M.H,Museo de Las Misiones Jesuíticas,2023,2,Estudiantes nivel superior,94,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Profesores,8,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Discapacitados,3,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Entrada sin costo,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Estudiantes nivel básico,28,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Entrada dominical,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Boleto pagado,0,Extranjeros
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Estudiantes nivel superior,53,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Boleto pagado,54,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Trabajadores INAH,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,"Tercera edad, pensionados y jubilados",18,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,1,Entrada sin costo,0,Extranjeros
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Estudiantes nivel superior,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Boleto pagado,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Exposiciones temporales con costo adicional,0,Extranjeros
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Trabajadores INAH,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,"Tercera edad, pensionados y jubilados",0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Exposiciones temporales con costo adicional,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Entrada sin costo,0,Extranjeros
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Profesores,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Discapacitados,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Entrada sin costo,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Estudiantes nivel básico,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Entrada dominical,0,Nacional
Baja California Sur,2400300,M.- M.H,Museo de las Pinturas Rupestres de San Ignacio,2023,2,Boleto pagado,0,Extranjeros
